family,scenario,mode,algo,model,source_log,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_len,mean_route_distance,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_semantic_cost,llm_raw_used_rate,llm_overridden_rate,constraint_success_rate,safe_success_rate
hf,long_horizon,hf,ppo,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_distilbert__distilbert-base-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google-bert__bert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google-bert__bert-base-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google__mobilebert-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google__mobilebert-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,huawei-noah__TinyBERT_General_4L_312D,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_huawei-noah__TinyBERT_General_4L_312D_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,openai-community__gpt2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_openai-community__gpt2_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,openai-community__gpt2-medium,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_openai-community__gpt2-medium_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_clearance_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_clearance_term_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1228.615,466.85,499.025,488.0,6.05,11.695,15.713,1.11,34.36,5.3,8.17,17.037,0.93,0.192,21.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,shortest_only,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_shortest_only_100ep.log,100.0,0.41,0.0,0.59,0.0,0.0,0.0,0.0,1144.064,469.91,497.585,486.0,6.054,11.572,15.584,1.15,33.13,5.49,8.4,16.914,1.06,0.197,16.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_turn_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_turn_term_100ep.log,100.0,0.42,0.0,0.58,0.0,0.0,0.0,0.0,1198.296,471.16,498.762,491.5,5.94,11.676,15.628,1.05,33.8,5.32,8.19,16.944,1.06,0.187,21.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
